iter	Passed	Remaining
962	54521	2094
963	54589	2038
964	54639	1981
965	54694	1925
966	54752	1868
967	54811	1811
968	54867	1755
969	54926	1698
970	54997	1642
971	55044	1585
972	55106	1529
973	55173	1472
974	55242	1416
975	55298	1359
976	55355	1303
977	55398	1246
978	55458	1189
979	55521	1133
980	55576	1076
981	55630	1019
982	55691	963
983	55756	906
984	55812	849
985	55896	793
986	55987	737
987	56066	680
988	56125	624
989	56179	567
990	56247	510
991	56306	454
992	56357	397
993	56417	340
994	56460	283
995	56527	227
996	56578	170
997	56623	113
998	56686	56
999	56744	0
